estacion,grado,grado_ponderado,betweenness,closeness,clustering,lat,lng,alcaldia
Acatitla,6.0,77994.52049180327,0.0,2.866899918893006e-06,1.0,19.364737,-99.005892,Iztapalapa
Aculco,14.0,98922.595856102,0.0,3.390402396305098e-05,1.0,19.374069,-99.108095,Otro
Agrícola Oriental,0.0,0.0,0.0,0.0,0.0,19.404835,-99.069901,Venustiano Carranza
Allende,16.0,200467.16416211295,0.0,2.6941600329375083e-05,0.9916666666666667,19.435514,-99.137406,Otro
Apatlaco,14.0,128569.77071948997,0.0,3.0048204033711737e-05,1.0,19.379292,-99.109597,Otro
Aquiles Serdán,0.0,0.0,0.0,0.0,0.0,19.490423,-99.19487,Otro
Aragón,0.0,0.0,0.0,0.0,0.0,19.451236,-99.095886,Venustiano Carranza
Atlalilco,25.0,222482.7030965392,0.030357142857142857,3.523218957978483e-05,0.49333333333333335,19.356134,-99.101315,Otro
Auditorio,10.0,134163.0744535519,0.0,2.0284272554642885e-05,1.0,19.425498,-99.191995,Miguel Hidalgo
Autobuses del Norte,5.0,43079.424863387976,0.0,2.4889736141949144e-05,1.0,19.478973,-99.140668,Miguel Hidalgo
Azcapotzalco,0.0,0.0,0.0,0.0,0.0,19.490989,-99.186416,Otro
Balbuena,11.0,152495.22404371586,0.0,2.6196012288667294e-05,1.0,19.423231,-99.102302,Otro
Balderas,25.0,331252.3777322404,0.02391304347826087,3.1884048804279454e-05,0.4866666666666667,19.42744,-99.149036,Cuauhtemoc
Barranca del Muerto,10.0,168745.85724043715,0.0,1.796093258968747e-05,1.0,19.360648,-99.190149,Benito Juarez
Bellas Artes,30.0,365648.41211293254,0.0,3.083944718952085e-05,0.5172413793103449,19.436243,-99.141955,Miguel Hidalgo
Bondojito,7.0,29857.893442622957,0.0,3.5189510044832525e-05,1.0,19.46461,-99.111958,Gustavo A. Madero
Bosque de Aragón,0.0,0.0,0.0,0.0,0.0,19.458115,-99.069192,Venustiano Carranza
Boulevard Puerto Aéreo,0.0,0.0,0.0,0.0,0.0,19.41967,-99.09595,Venustiano Carranza
Buenavista,8.0,179536.73292349727,0.0,1.812732301431929e-05,1.0,19.446603,-99.153199,Miguel Hidalgo
Calle 11,11.0,106962.48770491804,0.0,2.814717566036909e-05,1.0,19.3205,-99.0857,Iztapalapa
Camarones,10.0,105793.74658469945,0.0,2.2692238429134725e-05,1.0,19.479135,-99.190063,Miguel Hidalgo
Canal del Norte,7.0,34293.2868852459,0.0,3.373318447022823e-05,1.0,19.449112,-99.116507,Otro
Canal de San Juan,6.0,71379.54781420765,0.0,3.132584771397824e-06,1.0,19.398683,-99.059365,Venustiano Carranza
Candelaria,18.0,233045.62841530057,0.006211180124223603,3.0599232979538246e-05,0.5098039215686274,19.428837,-99.119511,Otro
Centro Médico,0.0,0.0,0.0,0.0,0.0,19.406637,-99.155753,Miguel Hidalgo
Cerro de la Estrella,14.0,104414.13683970855,0.0,3.3116872239039655e-05,1.0,19.356012,-99.085522,Iztapalapa
Chabacano,37.0,381535.2297358834,0.05263975155279503,3.5650848344079636e-05,0.3738738738738739,19.408438,-99.135754,Cuauhtemoc
Chapultepec,11.0,251137.53278688528,0.0,1.8333633356375557e-05,1.0,19.420783,-99.176288,Miguel Hidalgo
Chilpancingo,7.0,122813.1757741348,0.0,1.9885738099042708e-05,1.0,19.4059,-99.1686,Miguel Hidalgo
Ciudad Azteca,8.0,185964.9993169399,0.0,1.7639980154966625e-05,1.0,19.534595,-99.0275,Gustavo A. Madero
Ciudad Deportiva,7.0,59872.233151183966,0.0,3.0415764493135398e-05,1.0,19.408357,-99.091229,Venustiano Carranza
Colegio Militar,17.0,182183.86361566486,0.0,2.9359718550158093e-05,0.9779411764705882,19.449354,-99.172254,Miguel Hidalgo
Constitución de 1917,0.0,0.0,0.0,0.0,0.0,19.34593,-99.063892,Iztapalapa
Constituyentes,10.0,81531.2342896175,0.0,2.525642413244958e-05,1.0,19.411858,-99.191265,Miguel Hidalgo
Consulado,12.0,53531.198087431694,0.025077639751552794,3.581341884731944e-05,0.4696969696969697,19.457893,-99.113932,Otro
Copilco,14.0,238931.31489071038,0.0,2.4081369905697742e-05,1.0,19.335887,-99.176652,Benito Juarez
Coyoacán,0.0,0.0,0.0,0.0,0.0,19.361417,-99.170709,Benito Juarez
Coyuya,14.0,154013.06170309655,0.0,2.7376247517546393e-05,1.0,19.398521,-99.113545,Otro
Cuatro Caminos,17.0,616302.3991347905,0.0,1.2643889159753415e-05,0.9779411764705882,19.459592,-99.215899,Miguel Hidalgo
Cuauhtémoc,0.0,0.0,0.0,0.0,0.0,19.425862,-99.154701,Miguel Hidalgo
Cuitláhuac,0.0,0.0,0.0,0.0,0.0,19.457448,-99.182038,Miguel Hidalgo
Culhuacán,0.0,0.0,0.0,0.0,0.0,19.337,-99.109,Otro
Deportivo 18 de Marzo,18.0,224044.47950819673,0.02142857142857143,2.9649996187650176e-05,0.6339869281045751,19.483747,-99.126549,Gustavo A. Madero
Deportivo Oceanía,0.0,0.0,0.0,0.0,0.0,19.451034,-99.07917,Venustiano Carranza
División del Norte,0.0,0.0,0.0,0.0,0.0,19.380021,-99.158885,Benito Juarez
Doctores,14.0,116555.81716757742,0.0,3.1499905732868586e-05,1.0,19.421612,-99.143372,Cuauhtemoc
Ecatepec,8.0,122937.07581967213,0.0,2.3954240258061308e-05,1.0,19.515301,-99.035997,Gustavo A. Madero
Eduardo Molina,5.0,25650.16256830601,0.0,3.0352935079790376e-05,1.0,19.451378,-99.105434,Otro
Eje central,0.0,0.0,0.0,0.0,0.0,19.3614,-99.1514,Benito Juarez
El Rosario,14.0,173584.94535519124,0.002872670807453416,2.287072164765902e-05,0.5604395604395604,19.504541,-99.20002,Azcapotzalco
Ermita,28.0,278082.3472222222,0.017701863354037266,3.217355939764196e-05,0.5079365079365079,19.361883,-99.142942,Benito Juarez
Escuadrón 201,0.0,0.0,0.0,0.0,0.0,19.36492,-99.109554,Otro
Etiopía/Plaza de la Transparencia,0.0,0.0,0.0,0.0,0.0,19.395586,-99.156268,Benito Juarez
Eugenia,14.0,190400.681010929,0.0,2.8304292480636643e-05,1.0,19.385466,-99.157469,Benito Juarez
Ferrería,0.0,0.0,0.0,0.0,0.0,19.490746,-99.173841,Otro
Fray Servando,7.0,32882.811475409835,0.0,3.4183057051882656e-05,1.0,19.421633,-99.120541,Cuauhtemoc
Garibaldi,0.0,0.0,0.0,0.0,0.0,19.444458,-99.139724,Otro
General Anaya,15.0,180835.720856102,0.0,2.6763584937456196e-05,0.9904761904761905,19.353259,-99.145002,Benito Juarez
Gómez Farías,0.0,0.0,0.0,0.0,0.0,19.416472,-99.09035,Venustiano Carranza
Guelatao,6.0,78450.90710382513,0.0,2.8502217848944055e-06,1.0,19.385162,-99.03574,Iztapalapa
Guerrero,22.0,248440.03961748633,0.04813664596273292,3.5313067948153925e-05,0.5151515151515151,19.445146,-99.145389,Miguel Hidalgo
Hangares,5.0,22855.484972677597,0.0,3.146017190549316e-05,1.0,19.424142,-99.087496,Venustiano Carranza
Hidalgo,30.0,415243.3820582878,0.019021739130434784,3.2166606145293135e-05,0.4850574712643678,19.437295,-99.147105,Miguel Hidalgo
Hospital 20 de Noviembre,11.0,91529.19535519124,0.0,3.033408794009383e-05,1.0,19.372,-99.171,Benito Juarez
Hospital General,14.0,199496.17008196726,0.0,2.740365400115886e-05,1.0,19.413578,-99.153886,Miguel Hidalgo
Impulsora,8.0,119534.32035519124,0.0,2.4426280979045413e-05,1.0,19.485851,-99.048915,Gustavo A. Madero
Indios Verdes,14.0,587427.2520491803,0.0,1.162577486898941e-05,1.0,19.495358,-99.119468,Gustavo A. Madero
Instituto del Petróleo,0.0,0.0,0.0,0.0,0.0,19.489573,-99.14526,Miguel Hidalgo
Insurgentes,11.0,260043.10655737706,0.0,1.7849957239965497e-05,1.0,19.423292,-99.163177,Miguel Hidalgo
Insurgentes Sur,11.0,149136.21721311478,0.0,2.351460961179612e-05,1.0,19.3736,-99.1788,Benito Juarez
Isabel la Católica,0.0,0.0,0.0,0.0,0.0,19.426732,-99.137685,Cuauhtemoc
Iztacalco,14.0,144354.16826047358,0.0,2.8332676116232004e-05,1.0,19.388562,-99.112215,Otro
Iztapalapa,14.0,107524.03164845175,0.0,3.2687103215796316e-05,1.0,19.357834,-99.093461,Iztapalapa
Jamaica,14.0,104577.4052823315,0.020885093167701863,3.497929799669737e-05,0.4835164835164835,19.409004,-99.122171,Cuauhtemoc
Juanacatlán,0.0,0.0,0.0,0.0,0.0,19.41289,-99.182167,Miguel Hidalgo
Juárez,0.0,0.0,0.0,0.0,0.0,19.433167,-99.147792,Cuauhtemoc
Lagunilla,8.0,115393.68647540984,0.0,2.5026391710240796e-05,1.0,19.443386,-99.131334,Otro
La Paz,6.0,122812.40983606558,0.0,1.8206831440773968e-06,1.0,19.350526,-98.960745,Iztapalapa
La Raza,19.0,250666.66734972678,0.005279503105590062,2.9830793243585317e-05,0.5906432748538012,19.470153,-99.136891,Gustavo A. Madero
La Viga,14.0,89491.91279599271,0.0,3.5346832006236235e-05,1.0,19.406495,-99.126248,Cuauhtemoc
La Villa-Basílica,0.0,0.0,0.0,0.0,0.0,19.481522,-99.117923,Gustavo A. Madero
Lázaro Cárdenas,0.0,0.0,0.0,0.0,0.0,19.40696,-99.144874,Cuauhtemoc
Lindavista,4.0,31714.70286885246,0.0,2.1792748502207535e-05,1.0,19.487712,-99.13466,Gustavo A. Madero
Los Reyes,6.0,84091.47404371585,0.0,2.6590387077268684e-06,1.0,19.358968,-98.976903,Iztapalapa
Miguel Ángel de Quevedo,14.0,260269.89139344264,0.0,2.2598862486472103e-05,1.0,19.346395,-99.18103,Benito Juarez
Martín Carrera,0.0,0.0,0.0,0.0,0.0,19.484921,-99.104404,Gustavo A. Madero
Merced,11.0,247283.70765027322,0.0,1.8551163129371775e-05,1.0,19.425558,-99.124639,Cuauhtemoc
Mexicaltzingo,11.0,113555.64344262297,0.0,2.7306175553281953e-05,1.0,19.3577,-99.1218,Otro
Misterios,5.0,26647.506830601094,0.0,2.997642839011079e-05,1.0,19.463315,-99.130797,Gustavo A. Madero
Mixcoac,21.0,229541.39685792354,0.028881987577639753,2.8939907304183487e-05,0.48095238095238096,19.375891,-99.187531,Benito Juarez
Mixiuhca,7.0,80956.43806921676,0.0,2.5833367132325844e-05,1.0,19.408478,-99.112902,Otro
Moctezuma,11.0,180237.2049180328,0.0,2.337658594544169e-05,1.0,19.427218,-99.110305,Otro
Morelos,15.0,118224.66393442622,0.05031055900621118,3.6328606593822266e-05,0.4666666666666667,19.438974,-99.118266,Otro
Múzquiz,0.0,0.0,0.0,0.0,0.0,19.501629,-99.042048,Gustavo A. Madero
Nativitas,17.0,221598.48656648453,0.0,2.6213290291167407e-05,0.9779411764705882,19.379474,-99.140217,Benito Juarez
Nezahualcóyotl,0.0,0.0,0.0,0.0,0.0,19.473066,-99.054537,Gustavo A. Madero
Niños Héroes,0.0,0.0,0.0,0.0,0.0,19.419508,-99.150581,Miguel Hidalgo
Nopalera,11.0,135113.84016393442,0.0,2.487588160727939e-05,1.0,19.3,-99.046666666667,Iztapalapa
Normal,17.0,263885.7871129326,0.0,2.351012015582223e-05,0.9779411764705882,19.4444,-99.1674,Miguel Hidalgo
Norte 45,4.0,26678.73155737705,0.0,2.32013711488188e-05,1.0,19.488683,-99.162769,Miguel Hidalgo
Obrera,14.0,116062.0658014572,0.0,3.1562574861015425e-05,1.0,19.413558,-99.144187,Cuauhtemoc
Observatorio,11.0,297432.6967213115,0.0,1.6069995544479216e-05,1.0,19.398237,-99.200363,Alvaro Obregon
Oceanía,0.0,0.0,0.0,0.0,0.0,19.445672,-99.087238,Venustiano Carranza
Olímpica,0.0,0.0,0.0,0.0,0.0,19.521328,-99.033422,Gustavo A. Madero
Olivos,11.0,115096.29918032787,0.0,2.7116848483481286e-05,1.0,19.304166666667,-99.059722222222,Iztapalapa
Panteones,17.0,172234.98929872495,7.763975155279503e-05,3.0277050304951073e-05,0.9779411764705882,19.458763,-99.203153,Miguel Hidalgo
Pantitlán,0.0,0.0,0.0,0.0,0.0,19.415359,-99.072132,Venustiano Carranza
Parque de los venados,0.0,0.0,0.0,0.0,0.0,19.3707,-99.1587,Benito Juarez
Patriotismo,7.0,80689.04462659381,0.0,2.588282087221727e-05,1.0,19.4062,-99.1789,Miguel Hidalgo
Peñón Viejo,0.0,0.0,0.0,0.0,0.0,19.37332,-99.017093,Iztapalapa
Periférico Oriente,0.0,0.0,0.0,0.0,0.0,19.3177,-99.0746,Iztapalapa
Pino Suárez,0.0,0.0,0.0,0.0,0.0,19.425336,-99.132943,Cuauhtemoc
Plaza Aragón,0.0,0.0,0.0,0.0,0.0,19.528447,-99.030118,Gustavo A. Madero
Polanco,10.0,143416.9556010929,0.0,1.9605648767325546e-05,1.0,19.433511,-99.191029,Miguel Hidalgo
Politécnico,0.0,0.0,0.0,0.0,0.0,19.50082,-99.149294,Gustavo A. Madero
Popotla,16.0,146178.04121129325,0.0012422360248447205,3.2009040186887006e-05,0.9833333333333333,19.452147,-99.1747,Miguel Hidalgo
Portales,17.0,226499.62317850636,0.0,2.5868561421476756e-05,0.9779411764705882,19.3698,-99.1416,Benito Juarez
Potrero,14.0,191163.8982240437,0.0,2.8226449335676415e-05,1.0,19.47691,-99.132171,Gustavo A. Madero
Puebla,7.0,110156.41347905282,0.0,2.137372946786719e-05,1.0,19.407142,-99.082432,Venustiano Carranza
Refinería,0.0,0.0,0.0,0.0,0.0,19.469951,-99.190578,Miguel Hidalgo
Revolución,0.0,0.0,0.0,0.0,0.0,19.439561,-99.155431,Miguel Hidalgo
Ricardo Flores Magón,0.0,0.0,0.0,0.0,0.0,19.436567,-99.103675,Otro
Río de los Remedios,0.0,0.0,0.0,0.0,0.0,19.490908,-99.046597,Gustavo A. Madero
Romero Rubio,8.0,84688.67418032787,0.0,3.060159255154426e-05,1.0,19.440735,-99.094362,Venustiano Carranza
Salto del Agua,25.0,302379.7638888889,0.017701863354037266,3.249740477258034e-05,0.49333333333333335,19.426813,-99.142213,Cuauhtemoc
San Andrés Tomatlán,0.0,0.0,0.0,0.0,0.0,19.3283,-99.1049,Tlalpan
San Antonio,10.0,99020.50887978142,0.0,2.335415353467736e-05,1.0,19.384757,-99.186308,Benito Juarez
San Antonio Abad,17.0,222478.92372495448,0.0,2.615068802528874e-05,0.9779411764705882,19.418597,-99.134145,Cuauhtemoc
San Cosme,17.0,216820.78164845172,0.0,2.655829746348413e-05,0.9779411764705882,19.441706,-99.161096,Miguel Hidalgo
San Joaquín,0.0,0.0,0.0,0.0,0.0,19.445793,-99.191823,Miguel Hidalgo
San Juan de Letrán,0.0,0.0,0.0,0.0,0.0,19.431305,-99.141569,Cuauhtemoc
San Lázaro,0.0,0.0,0.0,0.0,0.0,19.430213,-99.114833,Otro
San Pedro de los Pinos,10.0,100838.42281420766,0.0,2.317273599655162e-05,1.0,19.391275,-99.186051,Benito Juarez
Santa Anita,21.0,109178.01457194898,0.06964285714285715,3.9130312105374476e-05,0.5428571428571428,19.40273,-99.121699,Cuauhtemoc
Santa Marta,6.0,102359.63661202186,0.0,2.1844790766460006e-06,1.0,19.36,-98.994863,Iztapalapa
Sevilla,11.0,194406.59016393445,0.0,2.215849592242287e-05,1.0,19.421916,-99.17058,Miguel Hidalgo
Tacuba,27.0,349247.4107468125,0.00986024844720497,2.8056706332888192e-05,0.5128205128205128,19.459349,-99.189205,Miguel Hidalgo
Tacubaya,28.0,444614.37181238615,0.01482919254658385,2.811389658004551e-05,0.328042328042328,19.403439,-99.187102,Miguel Hidalgo
Talismán,0.0,0.0,0.0,0.0,0.0,19.47428,-99.108009,Gustavo A. Madero
Tasqueña,0.0,0.0,0.0,0.0,0.0,19.344168,-99.142685,Benito Juarez
Tepalcates,6.0,85972.96311475411,0.0,2.6008465495552584e-06,1.0,19.391335,-99.046383,Venustiano Carranza
Tepito,8.0,113649.13729508195,0.0,2.5288154290355654e-05,1.0,19.442495,-99.12333,Otro
Terminal Aérea,0.0,0.0,0.0,0.0,0.0,19.433734,-99.087667,Venustiano Carranza
Tezonco,11.0,134850.19262295082,0.0,2.490298730986491e-05,1.0,19.306111111111,-99.065,Iztapalapa
Tezozómoc,0.0,0.0,0.0,0.0,0.0,19.495116,-99.196286,Otro
Tláhuac,0.0,0.0,0.0,0.0,0.0,19.286256,-99.014114,Tlahuac
Tlaltenco,11.0,71636.28551912568,0.0,3.371003367629082e-05,1.0,19.294166666667,-99.023888888889,Iztapalapa
Tlatelolco,14.0,205470.07855191253,0.0,2.6842662485243775e-05,1.0,19.454979,-99.142814,Miguel Hidalgo
UAM-I,14.0,159041.45104735883,0.0,2.690345078370408e-05,1.0,19.351234,-99.074707,Iztapalapa
Universidad,14.0,342717.29439890705,0.0,1.825634919092061e-05,1.0,19.324427,-99.17397,Coyoacan
Valle Gómez,0.0,0.0,0.0,0.0,0.0,19.458742,-99.119296,Otro
Vallejo,4.0,29211.473360655735,0.0,2.247088740736618e-05,1.0,19.490625,-99.15586,Otro
Velódromo,0.0,0.0,0.0,0.0,0.0,19.408478,-99.103074,Otro
Viaducto,16.0,207769.8226320583,0.0,2.6574658459406303e-05,0.9833333333333333,19.400808,-99.136891,Cuauhtemoc
Villa de Aragón,0.0,0.0,0.0,0.0,0.0,19.461656,-99.061704,Venustiano Carranza
Villa de Cortés,0.0,0.0,0.0,0.0,0.0,19.38753,-99.138994,Benito Juarez
Viveros/Derechos Humanos,14.0,206687.26571038255,0.0,2.6731165145775058e-05,1.0,19.353724,-99.176052,Benito Juarez
Xola,17.0,215209.2625227687,0.0,2.6676725696837455e-05,0.9779411764705882,19.3952,-99.1377,Cuauhtemoc
Zapata,25.0,302687.46789617493,0.03408385093167702,3.3117241401978405e-05,0.49,19.370952,-99.164937,Benito Juarez
Zapotitlán,0.0,0.0,0.0,0.0,0.0,19.296666666667,-99.034444444444,Iztapalapa
Zaragoza,11.0,251854.40437158474,0.0,1.8293730938668684e-05,1.0,19.412344,-99.08241,Venustiano Carranza
Zócalo,0.0,0.0,0.0,0.0,0.0,19.433248,-99.1329,Cuauhtemoc
